id	groups	PC1	PC2
1	1	-4.963907892	-4.789436691
2	1	9.152344631	-1.132445619
3	2	-4.218291195	-8.626369645
4	2	-9.816333215	1.231807686
5	2	-0.764317306	4.468766301
6	2	-10.17775748	3.061409987
7	1	9.273628208	0.667260237
8	1	5.377544129	-0.572444929
9	1	1.922267882	-1.276745519
10	1	-5.844930847	-1.471504188
11	2	-4.988047577	6.30428961
12	2	9.922208516	1.691196781
13	2	5.125592141	0.444215988
