id	groups	PC1	PC2
1	1	-1.947393183	5.251525424
2	1	-1.126549252	2.288986118
3	2	-5.996741568	-3.350830221
4	2	-10.86481982	3.618151852
5	2	8.009571457	2.394559096
6	2	6.111362546	-0.775080454
7	2	3.029512153	-2.13438438
8	2	-5.894511222	-6.885377882
9	2	-1.428996535	-9.446554235
10	1	6.357983826	4.225467244
11	1	4.211198747	-1.769697193
12	1	5.448862848	-0.928740103
13	1	-5.909479998	7.511974734
