id	groups	PC1	PC2
1	1	-10.85139381	11.41229854
2	1	-12.40556134	-2.190745833
3	1	-5.892928174	4.350085991
4	1	-4.393142459	1.440330591
5	2	-8.834043596	-22.18301066
6	2	0.143985961	-3.177794461
7	2	0.926245702	7.534422415
8	1	7.83334976	-1.60213777
9	1	-1.769250591	2.322697517
10	2	4.717164961	2.019261772
11	2	16.04415598	-3.191959946
12	2	11.42469659	-3.04743982
13	2	3.05672101	6.313991665
