"","PC1","PC2","group","testvar","name"
"1",-10.8513938079283,11.4122985360851,"VE","VE","1"
"2",-12.405561336112,-2.19074583296585,"VE","VE","2"
"3",-5.89292817367466,4.35008599136823,"VE","VE","3"
"4",-4.39314245916447,1.44033059090291,"VE","VE","4"
"5",-8.83404359636306,-22.1830106573148,"AT","AT","5"
"6",0.143985961281252,-3.17779446125655,"AT","AT","6"
"7",0.92624570220372,7.53442241531234,"AT","AT","7"
"8",7.83334976022034,-1.6021377704868,"VE","VE","8"
"9",-1.7692505914932,2.32269751736101,"VE","VE","9"
"10",4.71716496062678,2.0192617724582,"AT","AT","10"
"11",16.0441559786411,-3.19195994617055,"AT","AT","11"
"12",11.424696591632,-3.04743982029615,"AT","AT","12"
"13",3.05672101013051,6.31399166500295,"AT","AT","13"
