"","PC1","PC2","group","testvar","name"
"1",-11.933252411826,3.72779790872482,"BC","BC","1"
"2",-3.56662341071522,2.59148047765341,"BC","BC","2"
"3",-11.8418511229338,2.16689419960228,"BC","BC","3"
"4",-3.55571776211691,-10.2011517342361,"BC","BC","4"
"5",-5.20361168870014,-16.6939322744468,"BC","BC","5"
"6",15.5425082166366,-4.31576744215635,"H3","H3","6"
"7",12.6633956157762,-0.384992143875429,"H3","H3","7"
"8",9.25588643002443,-0.674649475495851,"H3","H3","8"
"9",6.22840380531004,7.70040608317094,"H3","H3","9"
"10",-1.4485081507505,14.6481854044912,"H3","H3","10"
"11",-0.705574096998123,3.27819267901284,"H3","H3","11"
"12",-5.43505542370668,-1.84246368244499,"H3","H3","12"
